"English"	"Russian"
"America"	"Амёрика"
"quickly В важный important"	"быстро"
"suddenly возмбжность (1) possibility,"	"вдруг"
"to enter"	"войти’ войду, войдёшь past вошёл, вошлё — like идтй (входйить' like ходить)"
"altogether, totally"	"вообщё"
"почему that is why"	"вбт"
"to temember, recall"	"вспоминёть! (ike знать) (вспбмнить? вспбмню, вспомнишь} (+ асс.)"
"to master (13.7)"	"выучить? (see учйть) (+ асс.)"
"long ago, since long ago"	"давнб"
"в тбм, чтб ... the thing is that"	"дёло"
"journalist"	"журналист"
"to forget"	"забывать (like знать) (+ асс.) (забыть’ забуду, забудешь)"
"to start laughing"	"засмейться” (смейться)) засмеюсь, засмеёшься"
"to study (13.7)"	"изучёть (like знать)"
"to master (13.7)"	"изучйть? May4y, изучишь"
"(pl. of kype) classes, а course of study"	"курсы"
"literature"	"литература"
"boy"	"мёльчик"
"(pi. adj.) many (people)"	"мнёгие"
"young"	"молодбй"
"to begin"	"начёть (начинёть like знать) начну, начнёшь past нёчал, началь, нёчали + inf"
"ago; back"	"назёд"
"people, nation"	"нарбд"
"to find"	"находить нахожу, находишь (найти найду, найдёшь past нашёл, нашлё)"
"(+ gen.) alittle"	"немнёго"
"Usually"	"обычно"
"to finish, graduate from"	"окбичить? (+ асс.) окбнчу, окбичишь (окёнчивать' like знать)"
"original"	"оригинёл"
"to stop (something)"	"остановить? (+ acc.) остановлю, останбвишь (останёвливать'е знать)"
"to answer (someone)"	"отвётить (+ dat.) отвёчу, отвётишь (отвечёть like знать)"
"to relate to, regard, treat"	"относйться к (+ dat.)"
"to translate"	"‘переводить перевожу, перевбдишь (перевестй’)"
"to move (house); to drive across"	"nepeéxare’ перебду, перебдешь (переезжёть like знать)"
"(на-) пишу, пишешь 10 write"	"писать"
"(+ dat. of person) (someone) was lucky мне повезлб | was lucky (idiom)"	"повезлё"
"in my opinion"	"по-мбему"
"(in) German"	"по-немёцки"
"to understand, realize"	"понйть’ пойму, поймёшь past пбнял, понялё, пбняли (понимёть’ like знать)"
"popular"	"популярный"
"to have a look (at)"	"посмотрёть? (на + асс.) (смотрёть' смотрю, смбтришь)"
"to enter (university etc.)"	"поступить (в + acc.) поступлю, поступишь (поступать ike знать)"
"almost"	"почти"
"(т) teacher, lec- turer"	"преподаватель"
"to teach"	"преподавёть'(+ асс.) преподаю, преподаёшь"
"to arrive (by transport)"	"прибхать’ привду, прибдешь (приезжать like знать)"
"to order someone to do sth"	"приказёть? (+ dat. + inf) прикажу, прикёжешь (прикёзывать [ке знать)"
"to live (for a specified period)"	"прожить’ проживу, проживёшь (жить)"
"indifferently, with indifference"	"равнодушно"
"(f) joy отрёдости from joy"	"рёдость"
"to decide; to solve"	"eure? решу, решйшь (+ асс.) (решёть‘ like знать)"
"to be born past родился, родилёсь"	"родиться”"
"novel; love affair"	"ромён"
"(m)/camé ((Усёми (ру) oneself (see Table 4)"	"сам"
"to be able (to), manage (to) (мбчь) (+ inf) past emér, ‘cmorné, cmorné, смогли"	"смёчь? смогу, сыбжешь, смёгут"
"moder, contemporary"	"совремённый"
"to ask (a question)"	"спрёшивать'(1Ке знать) (спросить’ спрошу, спросишь)"
"to consider, count"	"‘camtéte (ike знать)"
"television"	"телевйзор"
"difficult"	"трудный"
"to know how to"	"ymére! умбю, умбешь (+ inf.)"
"to study (see 13.7)"	"учить учу, unui (BEI+)"
"to study (somewhere - see 13.7)"	"учйться' учусь, учишься"
"driver"	"шофёр"
